10,Antonette,False,suscipit repellat esse quibusdam voluptatem incidunt
10,Antonette,True,distinctio vitae autem nihil ut molestias quo
10,Antonette,False,et itaque necessitatibus maxime molestiae qui quas velit
10,Antonette,False,adipisci non ad dicta qui amet quaerat doloribus ea
10,Antonette,True,voluptas quo tenetur perspiciatis explicabo natus
10,Antonette,True,aliquam aut quasi
10,Antonette,True,veritatis pariatur delectus
10,Antonette,False,nesciunt totam sit blanditiis sit
10,Antonette,False,laborum aut in quam
10,Antonette,True,nemo perspiciatis repellat ut dolor libero commodi blanditiis omnis
10,Antonette,False,repudiandae totam in est sint facere fuga
10,Antonette,False,earum doloribus ea doloremque quis
10,Antonette,False,sint sit aut vero
10,Antonette,False,porro aut necessitatibus eaque distinctio
10,Antonette,True,repellendus veritatis molestias dicta incidunt
10,Antonette,True,excepturi deleniti adipisci voluptatem et neque optio illum ad
10,Antonette,False,sunt cum tempora
10,Antonette,False,totam quia non
10,Antonette,False,doloremque quibusdam asperiores libero corrupti illum qui omnis
10,Antonette,True,totam atque quo nesciunt
